time_epoch,time_server,open,high,low,close,tick_volume,spread,real_volume
1657242000,2022.07.08 01:00:00,136.011,136.056,135.966,135.992,2489,11,0
1657245600,2022.07.08 02:00:00,135.992,136.007,135.906,135.915,2754,11,0
1657249200,2022.07.08 03:00:00,135.915,136.144,135.884,135.95,11629,11,0
1657252800,2022.07.08 04:00:00,135.951,136.041,135.798,136.039,15413,11,0
1657256400,2022.07.08 05:00:00,136.039,136.074,135.404,135.589,21789,11,0
1657260000,2022.07.08 06:00:00,135.589,135.804,135.321,135.591,35626,11,0
1657263600,2022.07.08 07:00:00,135.591,135.741,135.453,135.469,13281,11,0
1657267200,2022.07.08 08:00:00,135.469,135.746,135.435,135.644,11589,11,0
1657270800,2022.07.08 09:00:00,135.644,135.764,135.557,135.74,9359,11,0
1657274400,2022.07.08 10:00:00,135.741,135.898,135.608,135.828,16295,11,0
1657278000,2022.07.08 11:00:00,135.828,135.865,135.511,135.726,12992,11,0
1657281600,2022.07.08 12:00:00,135.726,135.951,135.672,135.82,8883,11,0
1657285200,2022.07.08 13:00:00,135.82,135.972,135.778,135.896,6293,11,0
1657288800,2022.07.08 14:00:00,135.895,135.928,135.798,135.828,6045,11,0
1657292400,2022.07.08 15:00:00,135.828,136.56,135.76,136.417,30536,11,0
1657296000,2022.07.08 16:00:00,136.416,136.511,136.21,136.256,22683,11,0
1657299600,2022.07.08 17:00:00,136.256,136.261,135.858,136.047,17502,11,0
1657303200,2022.07.08 18:00:00,136.047,136.19,135.929,136.167,11275,11,0
1657306800,2022.07.08 19:00:00,136.167,136.191,136.083,136.165,5471,11,0
1657310400,2022.07.08 20:00:00,136.165,136.185,136.13,136.156,2984,11,0
1657314000,2022.07.08 21:00:00,136.156,136.193,136.134,136.185,2776,11,0
1657317600,2022.07.08 22:00:00,136.185,136.186,136.033,136.052,4290,11,0
1657321200,2022.07.08 23:00:00,136.052,136.122,136.035,136.058,1044,11,0
1657497600,2022.07.11 00:00:00,135.941,136.139,135.906,136.126,1232,14,0
1657501200,2022.07.11 01:00:00,136.111,136.193,136.093,136.171,4083,11,0
1657504800,2022.07.11 02:00:00,136.171,136.35,136.164,136.292,4461,11,0
1657508400,2022.07.11 03:00:00,136.292,136.476,136.222,136.453,11534,11,0
1657512000,2022.07.11 04:00:00,136.454,137.273,136.433,137.103,26574,11,0
1657515600,2022.07.11 05:00:00,137.103,137.186,136.787,137.029,17080,11,0
1657519200,2022.07.11 06:00:00,137.029,137.08,136.872,137.01,7562,11,0
1657522800,2022.07.11 07:00:00,137.01,137.038,136.897,136.982,3594,11,0
1657526400,2022.07.11 08:00:00,136.982,137.151,136.966,137.036,6228,11,0
1657530000,2022.07.11 09:00:00,137.036,137.045,136.892,136.982,11548,11,0
1657533600,2022.07.11 10:00:00,136.982,136.982,136.703,136.802,12461,11,0
1657537200,2022.07.11 11:00:00,136.802,136.969,136.768,136.966,6715,11,0
1657540800,2022.07.11 12:00:00,136.966,137.05,136.938,137.0,6738,11,0
1657544400,2022.07.11 13:00:00,137.0,137.102,136.988,137.079,5351,11,0
