time_epoch,time_utc,open,high,low,close,tick_volume,spread,real_volume
1733434200,2024-12-05 21:30:00,44860.27,44886.77,44849.27,44865.77,4120,90,0
1733436000,2024-12-05 22:00:00,44865.77,44866.77,44799.77,44827.77,5127,40,0
1733437800,2024-12-05 22:30:00,44828.77,44854.27,44778.77,44812.92,5835,90,0
1733439600,2024-12-05 23:00:00,44811.92,44813.92,44749.42,44783.42,1990,160,0
1733441400,2024-12-05 23:30:00,44783.17,44802.92,44782.67,44800.67,826,160,0
1733446800,2024-12-06 01:00:00,44792.7,44808.2,44773.2,44797.2,918,160,0
1733448600,2024-12-06 01:30:00,44797.2,44801.7,44787.7,44795.45,481,160,0
1733450400,2024-12-06 02:00:00,44795.45,44795.45,44769.7,44784.7,798,160,0
1733452200,2024-12-06 02:30:00,44785.7,44789.95,44775.7,44781.7,567,160,0
1733454000,2024-12-06 03:00:00,44781.7,44781.95,44758.7,44768.45,649,160,0
1733455800,2024-12-06 03:30:00,44768.7,44774.45,44756.95,44766.7,813,160,0
1733457600,2024-12-06 04:00:00,44766.7,44783.95,44761.7,44783.7,567,160,0
1733459400,2024-12-06 04:30:00,44783.7,44788.7,44773.7,44776.2,644,160,0
1733461200,2024-12-06 05:00:00,44776.2,44777.7,44757.7,44757.7,649,160,0
1733463000,2024-12-06 05:30:00,44757.7,44762.7,44752.7,44753.7,448,160,0
1733464800,2024-12-06 06:00:00,44753.2,44753.7,44739.45,44745.7,469,160,0
1733466600,2024-12-06 06:30:00,44746.2,44770.7,44741.95,44770.7,386,160,0
1733468400,2024-12-06 07:00:00,44770.7,44770.7,44761.95,44767.7,462,160,0
1733470200,2024-12-06 07:30:00,44767.7,44768.7,44758.2,44768.7,355,160,0
1733472000,2024-12-06 08:00:00,44767.95,44780.7,44766.95,44778.7,466,160,0
1733473800,2024-12-06 08:30:00,44778.7,44781.7,44774.7,44775.7,310,160,0
1733475600,2024-12-06 09:00:00,44775.95,44789.55,44775.95,44781.8,471,140,0
1733477400,2024-12-06 09:30:00,44780.8,44789.3,44771.8,44788.8,503,140,0
1733479200,2024-12-06 10:00:00,44788.8,44802.8,44779.8,44800.8,1279,140,0
1733481000,2024-12-06 10:30:00,44800.8,44811.8,44793.8,44800.8,859,140,0
1733482800,2024-12-06 11:00:00,44800.8,44802.8,44766.8,44790.8,1491,140,0
1733484600,2024-12-06 11:30:00,44790.8,44806.3,44782.8,44793.8,930,140,0
1733486400,2024-12-06 12:00:00,44794.55,44799.8,44783.8,44796.8,745,140,0
1733488200,2024-12-06 12:30:00,44796.8,44807.3,44767.8,44769.8,787,140,0
1733490000,2024-12-06 13:00:00,44770.55,44782.8,44748.8,44758.8,886,140,0
1733491800,2024-12-06 13:30:00,44758.8,44781.8,44756.8,44779.8,910,140,0
1733493600,2024-12-06 14:00:00,44778.8,44791.3,44769.8,44787.8,1122,140,0
1733495400,2024-12-06 14:30:00,44787.8,44787.8,44764.55,44766.3,923,140,0
1733497200,2024-12-06 15:00:00,44766.8,44773.8,44741.8,44757.55,1037,140,0
1733499000,2024-12-06 15:30:00,44758.05,44887.8,44727.05,44851.8,5365,115,0
1733500800,2024-12-06 16:00:00,44851.8,44897.8,44850.3,44874.05,2942,140,0
1733502600,2024-12-06 16:30:00,44881.05,44926.55,44828.55,44856.8,11819,90,0
1733504400,2024-12-06 17:00:00,44856.3,44866.05,44789.05,44845.3,8111,90,0
1733506200,2024-12-06 17:30:00,44845.05,44855.8,44799.05,44849.05,6016,90,0
1733508000,2024-12-06 18:00:00,44848.55,44854.05,44690.05,44733.05,6092,65,0
1733509800,2024-12-06 18:30:00,44733.8,44763.05,44718.55,44737.55,4739,90,0
1733511600,2024-12-06 19:00:00,44737.55,44739.05,44645.05,44674.05,4199,90,0
1733513400,2024-12-06 19:30:00,44674.05,44678.05,44638.05,44657.05,3833,90,0
1733515200,2024-12-06 20:00:00,44657.05,44742.05,44652.55,44700.05,3462,90,0
1733517000,2024-12-06 20:30:00,44700.05,44702.55,44655.05,44684.05,3347,90,0
1733518800,2024-12-06 21:00:00,44683.05,44691.55,44608.05,44624.05,3856,90,0
1733520600,2024-12-06 21:30:00,44624.05,44656.55,44604.55,44634.05,3352,90,0
1733522400,2024-12-06 22:00:00,44634.05,44656.05,44619.05,44646.05,3072,90,0
1733524200,2024-12-06 22:30:00,44646.05,44661.55,44626.55,44642.45,3842,90,0
1733526000,2024-12-06 23:00:00,44643.7,44651.7,44625.7,44630.2,1139,160,0
1733527800,2024-12-06 23:30:00,44630.2,44641.7,44625.95,44641.7,349,160,0
1733706000,2024-12-09 01:00:00,44638.76,44665.26,44633.76,44657.76,1133,160,0
1733707800,2024-12-09 01:30:00,44658.26,44693.76,44657.26,44682.01,829,160,0
1733709600,2024-12-09 02:00:00,44681.26,44681.26,44650.26,44652.76,1175,160,0
1733711400,2024-12-09 02:30:00,44652.76,44661.76,44640.76,44654.76,942,160,0
1733713200,2024-12-09 03:00:00,44654.76,44663.01,44633.51,44638.01,1145,160,0
1733715000,2024-12-09 03:30:00,44638.26,44646.76,44633.01,44636.76,987,160,0
1733716800,2024-12-09 04:00:00,44636.76,44651.51,44635.76,44636.76,903,160,0
1733718600,2024-12-09 04:30:00,44636.76,44636.76,44620.76,44632.26,705,160,0
1733720400,2024-12-09 05:00:00,44632.76,44640.51,44616.76,44622.51,633,160,0
1733722200,2024-12-09 05:30:00,44623.26,44630.76,44611.01,44612.51,528,160,0
1733724000,2024-12-09 06:00:00,44612.76,44619.76,44608.76,44612.26,586,160,0
1733725800,2024-12-09 06:30:00,44612.26,44627.26,44601.76,44620.76,710,160,0
1733727600,2024-12-09 07:00:00,44620.76,44630.51,44613.26,44616.76,743,160,0
1733729400,2024-12-09 07:30:00,44616.76,44620.26,44609.26,44617.76,542,160,0
1733731200,2024-12-09 08:00:00,44617.76,44623.01,44611.01,44615.76,532,160,0
1733733000,2024-12-09 08:30:00,44616.01,44625.76,44611.76,44616.76,423,160,0
1733734800,2024-12-09 09:00:00,44616.76,44629.36,44594.86,44621.86,959,140,0
1733736600,2024-12-09 09:30:00,44621.86,44658.86,44619.36,44652.86,1815,140,0
1733738400,2024-12-09 10:00:00,44651.86,44670.86,44616.36,44629.86,2805,140,0
1733740200,2024-12-09 10:30:00,44630.86,44639.86,44611.61,44617.86,1355,140,0
1733742000,2024-12-09 11:00:00,44618.11,44672.36,44615.11,44670.86,2338,140,0
1733743800,2024-12-09 11:30:00,44669.11,44674.36,44640.11,44649.86,1404,140,0
1733745600,2024-12-09 12:00:00,44649.86,44652.86,44623.86,44631.36,1199,140,0
1733747400,2024-12-09 12:30:00,44631.36,44659.36,44630.86,44656.86,1099,140,0
1733749200,2024-12-09 13:00:00,44656.86,44668.86,44636.86,44650.86,1251,140,0
1733751000,2024-12-09 13:30:00,44650.86,44688.86,44640.86,44683.11,1888,140,0
1733752800,2024-12-09 14:00:00,44683.11,44683.36,44647.86,44670.36,1349,140,0
1733754600,2024-12-09 14:30:00,44669.86,44678.61,44652.86,44671.86,1165,140,0
1733756400,2024-12-09 15:00:00,44670.86,44680.36,44659.36,44679.36,1315,140,0
1733758200,2024-12-09 15:30:00,44679.36,44707.86,44677.86,44700.86,1232,140,0
1733760000,2024-12-09 16:00:00,44700.86,44732.36,44682.86,44696.86,1703,140,0
1733761800,2024-12-09 16:30:00,44697.36,44758.61,44639.11,44664.61,11699,90,0
1733763600,2024-12-09 17:00:00,44665.11,44714.61,44629.61,44650.11,8030,0,0
1733765400,2024-12-09 17:30:00,44651.11,44667.11,44537.86,44568.11,8303,90,0
1733767200,2024-12-09 18:00:00,44568.11,44607.61,44539.11,44604.11,7349,90,0
1733769000,2024-12-09 18:30:00,44604.36,44678.61,44582.61,44669.11,5389,90,0
1733770800,2024-12-09 19:00:00,44669.36,44671.11,44565.11,44589.86,4797,90,0
1733772600,2024-12-09 19:30:00,44590.11,44609.86,44551.36,44553.86,3989,90,0
1733774400,2024-12-09 20:00:00,44553.86,44561.61,44526.86,44541.11,4067,90,0
1733776200,2024-12-09 20:30:00,44541.36,44621.86,44535.11,44569.11,4031,90,0
1733778000,2024-12-09 21:00:00,44569.11,44580.61,44527.11,44570.11,4189,90,0
1733779800,2024-12-09 21:30:00,44570.11,44585.11,44506.11,44535.11,4737,90,0
1733781600,2024-12-09 22:00:00,44536.11,44539.11,44462.11,44479.86,4632,90,0
1733783400,2024-12-09 22:30:00,44481.11,44507.11,44403.11,44430.11,5547,40,0
1733785200,2024-12-09 23:00:00,44430.11,44431.61,44401.26,44414.76,1460,90,0
1733787000,2024-12-09 23:30:00,44414.76,44419.26,44409.51,44411.26,693,160,0
1733792400,2024-12-10 01:00:00,44424.24,44426.99,44403.49,44416.74,718,160,0
1733794200,2024-12-10 01:30:00,44416.49,44420.49,44398.99,44415.49,570,160,0
1733796000,2024-12-10 02:00:00,44414.49,44415.49,44391.49,44401.49,822,160,0
1733797800,2024-12-10 02:30:00,44401.49,44415.24,44399.49,44411.49,371,160,0
1733799600,2024-12-10 03:00:00,44411.49,44414.49,44387.49,44389.49,637,160,0
1733801400,2024-12-10 03:30:00,44388.74,44400.49,44382.49,44398.49,728,160,0
1733803200,2024-12-10 04:00:00,44398.74,44405.49,44394.49,44395.49,414,160,0
1733805000,2024-12-10 04:30:00,44395.49,44397.99,44390.99,44395.49,319,160,0
1733806800,2024-12-10 05:00:00,44395.49,44407.99,44394.99,44404.49,257,160,0
1733808600,2024-12-10 05:30:00,44404.49,44420.49,44403.49,44416.99,464,160,0
1733810400,2024-12-10 06:00:00,44416.99,44419.99,44412.99,44414.49,286,160,0
1733812200,2024-12-10 06:30:00,44414.49,44415.24,44407.49,44411.49,245,160,0
1733814000,2024-12-10 07:00:00,44410.99,44434.49,44409.99,44433.49,429,160,0
1733815800,2024-12-10 07:30:00,44433.24,44433.49,44417.49,44425.49,471,160,0
1733817600,2024-12-10 08:00:00,44425.49,44436.49,44423.49,44435.99,484,160,0
1733819400,2024-12-10 08:30:00,44436.49,44436.99,44420.49,44423.49,293,160,0
1733821200,2024-12-10 09:00:00,44422.74,44445.09,44422.74,44443.84,399,140,0
1733823000,2024-12-10 09:30:00,44444.09,44472.09,44439.59,44440.59,707,140,0
1733824800,2024-12-10 10:00:00,44441.59,44458.59,44410.59,44418.59,1190,140,0
1733826600,2024-12-10 10:30:00,44417.59,44438.34,44403.84,44405.09,1051,140,0
1733828400,2024-12-10 11:00:00,44403.59,44422.09,44392.84,44412.59,1407,140,0
1733830200,2024-12-10 11:30:00,44411.59,44414.59,44379.59,44395.59,1185,140,0
1733832000,2024-12-10 12:00:00,44395.59,44426.59,44393.84,44426.59,954,140,0
1733833800,2024-12-10 12:30:00,44426.59,44426.59,44400.59,44419.59,836,140,0
1733835600,2024-12-10 13:00:00,44419.59,44437.09,44399.09,44435.59,1116,140,0
1733837400,2024-12-10 13:30:00,44435.59,44438.34,44420.59,44420.59,864,140,0
1733839200,2024-12-10 14:00:00,44423.34,44431.59,44390.59,44396.59,1095,140,0
1733841000,2024-12-10 14:30:00,44396.59,44406.84,44380.59,44383.59,1040,140,0
1733842800,2024-12-10 15:00:00,44382.59,44382.59,44307.59,44325.59,1677,140,0
1733844600,2024-12-10 15:30:00,44325.59,44381.09,44318.84,44343.09,2031,140,0
1733846400,2024-12-10 16:00:00,44343.09,44379.59,44325.09,44364.09,1715,140,0
1733848200,2024-12-10 16:30:00,44364.59,44377.59,44211.84,44349.84,12967,90,0
1733850000,2024-12-10 17:00:00,44348.84,44386.84,44285.34,44367.84,8053,90,0
1733851800,2024-12-10 17:30:00,44366.84,44468.84,44364.84,44448.84,6891,90,0
1733853600,2024-12-10 18:00:00,44448.84,44495.84,44423.84,44478.84,5934,90,0
