time_epoch,time,role,total_matured_observations,experts_at_256_maturity,current_valid_experts_with_score,current_positive_experts,selected_expert,selected_score_R,slot_available,accepted,rejection,settled_actual_balance_usd
1704205800,2024-01-02T14:30:00,ONLINE_HL32,944362,30,30,5,,,0,0,GLOBAL_SLOT_OCCUPIED,93.70190624999871
1704205800,2024-01-02T14:30:00,ONLINE_HL96,944362,30,30,1,US30_H16_MOMENTUM,0.0008170099095714551,1,1,,98.09871875000007
1704205800,2024-01-02T14:30:00,ONLINE_HL256,944362,30,30,0,,,1,0,NO_POSITIVE_CURRENT_EXPERT,100.0
1704206700,2024-01-02T14:45:00,ONLINE_HL32,944392,30,30,4,US30_H16_MOMENTUM,0.09858241747527434,1,1,,96.37940624999871
1704206700,2024-01-02T14:45:00,ONLINE_HL96,944392,30,30,0,,,0,0,GLOBAL_SLOT_OCCUPIED,98.09871875000007
1704206700,2024-01-02T14:45:00,ONLINE_HL256,944392,30,30,0,,,1,0,NO_POSITIVE_CURRENT_EXPERT,100.0
1704207600,2024-01-02T15:00:00,ONLINE_HL32,944422,30,30,4,,,0,0,GLOBAL_SLOT_OCCUPIED,96.37940624999871
1704207600,2024-01-02T15:00:00,ONLINE_HL96,944422,30,30,1,US30_H16_MOMENTUM,0.004167696845640388,1,1,,100.7075937499999
1704207600,2024-01-02T15:00:00,ONLINE_HL256,944422,30,30,0,,,1,0,NO_POSITIVE_CURRENT_EXPERT,100.0
1704208500,2024-01-02T15:15:00,ONLINE_HL32,944452,30,30,7,,,0,0,GLOBAL_SLOT_OCCUPIED,96.37940624999871
1704208500,2024-01-02T15:15:00,ONLINE_HL96,944452,30,30,1,,,0,0,GLOBAL_SLOT_OCCUPIED,100.7075937499999
1704208500,2024-01-02T15:15:00,ONLINE_HL256,944452,30,30,0,,,1,0,NO_POSITIVE_CURRENT_EXPERT,100.0
1704209400,2024-01-02T15:30:00,ONLINE_HL32,944482,30,30,8,,,0,0,GLOBAL_SLOT_OCCUPIED,96.37940624999871
1704209400,2024-01-02T15:30:00,ONLINE_HL96,944482,30,30,1,,,0,0,GLOBAL_SLOT_OCCUPIED,100.7075937499999
1704209400,2024-01-02T15:30:00,ONLINE_HL256,944482,30,30,0,,,1,0,NO_POSITIVE_CURRENT_EXPERT,100.0
