"source_year","source_entry","Market_and_Exchange_Names","Report_Date_as_YYYY-MM-DD","CFTC_Contract_Market_Code","Open_Interest_All","Lev_Money_Positions_Long_All","Lev_Money_Positions_Short_All","FutOnly_or_Combined"
"2023","FinFutYY.txt","NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE","2023-03-14","209742","306461","65156","71184","FutOnly"
"2023","FinFutYY.txt","DJIA x $5 - CHICAGO BOARD OF TRADE","2023-03-21","124603","81747","15167","20752","FutOnly"
"2023","FinFutYY.txt","NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE","2023-03-21","209742","214876","43411","73840","FutOnly"
"2023","FinFutYY.txt","DJIA x $5 - CHICAGO BOARD OF TRADE","2023-03-28","124603","76349","12607","15142","FutOnly"
"2023","FinFutYY.txt","NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE","2023-03-28","209742","220074","41075","81969","FutOnly"
"2023","FinFutYY.txt","DJIA x $5 - CHICAGO BOARD OF TRADE","2023-04-04","124603","88291","15880","20603","FutOnly"
"2023","FinFutYY.txt","NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE","2023-04-04","209742","232186","46145","90486","FutOnly"
"2023","FinFutYY.txt","DJIA x $5 - CHICAGO BOARD OF TRADE","2023-04-11","124603","90263","17455","23962","FutOnly"
"2023","FinFutYY.txt","NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE","2023-04-11","209742","237470","48720","84931","FutOnly"
"2023","FinFutYY.txt","DJIA x $5 - CHICAGO BOARD OF TRADE","2023-04-18","124603","96061","18339","25257","FutOnly"
"2023","FinFutYY.txt","NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE","2023-04-18","209742","245059","54568","86193","FutOnly"
"2023","FinFutYY.txt","DJIA x $5 - CHICAGO BOARD OF TRADE","2023-04-25","124603","99217","20541","28651","FutOnly"
"2023","FinFutYY.txt","NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE","2023-04-25","209742","247654","51598","87590","FutOnly"
"2023","FinFutYY.txt","DJIA x $5 - CHICAGO BOARD OF TRADE","2023-05-02","124603","97094","21178","25854","FutOnly"
"2023","FinFutYY.txt","NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE","2023-05-02","209742","246962","49879","84684","FutOnly"
"2023","FinFutYY.txt","DJIA x $5 - CHICAGO BOARD OF TRADE","2023-05-09","124603","93824","18569","25852","FutOnly"
"2023","FinFutYY.txt","NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE","2023-05-09","209742","255173","56710","87392","FutOnly"
"2023","FinFutYY.txt","DJIA x $5 - CHICAGO BOARD OF TRADE","2023-05-16","124603","96208","17230","25847","FutOnly"
"2023","FinFutYY.txt","NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE","2023-05-16","209742","273355","63768","95174","FutOnly"
"2023","FinFutYY.txt","DJIA x $5 - CHICAGO BOARD OF TRADE","2023-05-23","124603","93883","18273","25790","FutOnly"
"2023","FinFutYY.txt","NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE","2023-05-23","209742","275175","64099","101252","FutOnly"
"2023","FinFutYY.txt","DJIA x $5 - CHICAGO BOARD OF TRADE","2023-05-30","124603","94921","17756","26556","FutOnly"
"2023","FinFutYY.txt","NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE","2023-05-30","209742","298403","70871","115887","FutOnly"
"2023","FinFutYY.txt","DJIA x $5 - CHICAGO BOARD OF TRADE","2023-06-06","124603","100587","18518","25902","FutOnly"
"2023","FinFutYY.txt","NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE","2023-06-06","209742","306736","74167","117233","FutOnly"
"2023","FinFutYY.txt","DJIA x $5 - CHICAGO BOARD OF TRADE","2023-06-13","124603","103298","14995","25121","FutOnly"
"2023","FinFutYY.txt","NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE","2023-06-13","209742","322087","59597","103639","FutOnly"
"2023","FinFutYY.txt","DJIA x $5 - CHICAGO BOARD OF TRADE","2023-06-20","124603","87911","17740","21577","FutOnly"
"2023","FinFutYY.txt","NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE","2023-06-20","209742","247591","53997","71384","FutOnly"
"2023","FinFutYY.txt","DJIA x $5 - CHICAGO BOARD OF TRADE","2023-06-27","124603","92561","17245","19638","FutOnly"
"2023","FinFutYY.txt","NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE","2023-06-27","209742","256666","51929","77563","FutOnly"
"2023","FinFutYY.txt","DJIA x $5 - CHICAGO BOARD OF TRADE","2023-07-03","124603","95161","19959","20396","FutOnly"
"2023","FinFutYY.txt","NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE","2023-07-03","209742","248698","46809","80314","FutOnly"
"2023","FinFutYY.txt","DJIA x $5 - CHICAGO BOARD OF TRADE","2023-07-11","124603","97782","17954","21543","FutOnly"
"2023","FinFutYY.txt","NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE","2023-07-11","209742","259491","48690","85525","FutOnly"
"2023","FinFutYY.txt","DJIA x $5 - CHICAGO BOARD OF TRADE","2023-07-18","124603","102267","20083","26893","FutOnly"
"2023","FinFutYY.txt","NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE","2023-07-18","209742","264119","52174","84284","FutOnly"
"2023","FinFutYY.txt","DJIA x $5 - CHICAGO BOARD OF TRADE","2023-07-25","124603","111965","30054","30674","FutOnly"
"2023","FinFutYY.txt","NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE","2023-07-25","209742","260623","44967","85132","FutOnly"
"2023","FinFutYY.txt","DJIA x $5 - CHICAGO BOARD OF TRADE","2023-08-01","124603","113039","33495","29379","FutOnly"
"2023","FinFutYY.txt","NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE","2023-08-01","209742","262908","44192","98062","FutOnly"
"2023","FinFutYY.txt","DJIA x $5 - CHICAGO BOARD OF TRADE","2023-08-08","124603","106566","30026","18579","FutOnly"
"2023","FinFutYY.txt","NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE","2023-08-08","209742","267797","44518","101156","FutOnly"
"2023","FinFutYY.txt","DJIA x $5 - CHICAGO BOARD OF TRADE","2023-08-15","124603","104216","17901","18247","FutOnly"
"2023","FinFutYY.txt","NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE","2023-08-15","209742","267495","45788","81138","FutOnly"
"2023","FinFutYY.txt","DJIA x $5 - CHICAGO BOARD OF TRADE","2023-08-22","124603","97208","11204","21641","FutOnly"
"2023","FinFutYY.txt","NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE","2023-08-22","209742","263420","46240","74750","FutOnly"
"2023","FinFutYY.txt","DJIA x $5 - CHICAGO BOARD OF TRADE","2023-08-29","124603","96960","11717","24544","FutOnly"
